internalField   nonuniform List<vector> 
106488
(
(1.09442 -0.0010653 -0.00024349)
(1.09552 -0.000946961 -0.00020706)
(1.09649 -0.000842899 -0.000176953)
(1.09734 -0.000751058 -0.000151894)
(1.0981 -0.000669756 -0.000130899)
(1.09877 -0.000597605 -0.0001132)
(1.09936 -0.000533448 -9.81961e-05)
(1.09988 -0.000476311 -8.54096e-05)
(1.10035 -0.000425367 -7.446e-05)
(1.10077 -0.000379905 -6.50418e-05)
(1.10113 -0.000339309 -5.69076e-05)
(1.10146 -0.000303041 -4.98563e-05)
(1.10176 -0.000270632 -4.3723e-05)
(1.10202 -0.000241665 -3.83717e-05)
(1.10225 -0.000215775 -3.36888e-05)
(1.10245 -0.000192636 -2.95794e-05)
(1.10264 -0.000171962 -2.59634e-05)
(1.1028 -0.000153494 -2.27697e-05)
(1.10294 -0.000137007 -1.99411e-05)
(1.10307 -0.000122296 -1.74271e-05)
(1.10319 -0.000109186 -1.51827e-05)
(1.10329 -9.75162e-05 -1.31664e-05)
(1.10338 -8.7155e-05 -1.13426e-05)
(1.10346 -7.79836e-05 -9.67765e-06)
(1.10353 -6.99019e-05 -8.13983e-06)
(1.1036 -6.28213e-05 -6.6997e-06)
(1.10365 -5.66725e-05 -5.32671e-06)
(1.1037 -5.14025e-05 -3.98823e-06)
(1.10375 -4.69733e-05 -2.6526e-06)
(1.10379 -4.33635e-05 -1.2843e-06)
(1.10382 -4.05683e-05 1.57964e-07)
(1.10385 -3.86046e-05 1.72045e-06)
(1.10388 -3.75154e-05 3.45646e-06)
(1.1039 -3.73719e-05 5.4302e-06)
(1.10393 -3.82814e-05 7.71751e-06)
(1.10394 -4.03946e-05 1.04053e-05)
(1.10396 -4.39216e-05 1.36004e-05)
(1.10398 -4.91628e-05 1.74231e-05)
(1.10399 -5.65238e-05 2.20027e-05)
(1.10401 -6.65614e-05 2.7465e-05)
(1.10403 -8.00472e-05 3.39026e-05)
(1.10405 -9.80551e-05 4.13121e-05)
(1.10408 -0.000122081 4.94752e-05)
(1.10411 -0.000154218 5.77339e-05)
(1.10417 -0.000197392 6.45634e-05)
(1.10425 -0.000256037 6.68548e-05)
(1.1044 -0.000343476 5.78826e-05)
(1.10466 -0.000493654 1.45116e-05)
(1.10527 -0.000771558 -0.000144694)
(1.10705 -0.00128734 -0.000691581)
(1.10739 -0.00272197 -0.00205314)
(1.13823 -0.00599575 -0.0103848)
(1.10173 -0.0177973 -0.036596)
(1.08865 -0.0296874 -0.0267874)
(1.19974 -0.0214434 -0.0131367)
(1.22354 -0.0142893 -0.0090072)
(1.24712 -0.0105214 -0.00599062)
(1.2632 -0.00791632 -0.00415136)
(1.27439 -0.00615148 -0.00301552)
(1.28258 -0.00493842 -0.0022686)
(1.28872 -0.00407422 -0.00175914)
(1.29341 -0.00344016 -0.00140087)
(1.29708 -0.00296206 -0.00114283)
(1.30006 -0.00258439 -0.000950028)
(1.3026 -0.00226961 -0.000798639)
(1.3048 -0.00200081 -0.000676327)
(1.30672 -0.0017697 -0.000576336)
(1.3084 -0.00156963 -0.00049378)
(1.30988 -0.00139532 -0.000425033)
(1.31118 -0.0012426 -0.000367354)
(1.31232 -0.00110813 -0.000318638)
(1.31334 -0.000989251 -0.000277253)
(1.31423 -0.000883793 -0.000241911)
(1.31502 -0.000789988 -0.000211589)
(1.31573 -0.000706374 -0.000185462)
(1.31635 -0.000631724 -0.000162864)
(1.31691 -0.000565 -0.00014325)
(1.3174 -0.000505312 -0.000126171)
(1.31784 -0.000451891 -0.000111256)
(1.31824 -0.000404063 -9.81962e-05)
(1.31859 -0.000361238 -8.67335e-05)
(1.3189 -0.000322895 -7.66498e-05)
(1.31917 -0.000288573 -6.77602e-05)
(1.31942 -0.00025786 -5.99074e-05)
(1.31964 -0.000230392 -5.29565e-05)
(1.31983 -0.000205838 -4.67895e-05)
(1.32001 -0.000183911 -4.13044e-05)
(1.32016 -0.000164352 -3.64145e-05)
(1.3203 -0.000146933 -3.20418e-05)
(1.32042 -0.000131455 -2.81161e-05)
(1.32053 -0.000117743 -2.45756e-05)
(1.32063 -0.000105648 -2.13642e-05)
(1.32072 -9.504e-05 -1.8429e-05)
(1.32079 -8.58094e-05 -1.57228e-05)
(1.32086 -7.78707e-05 -1.31987e-05)
(1.32092 -7.11589e-05 -1.08101e-05)
(1.32097 -6.56308e-05 -8.51309e-06)
(1.32102 -6.12646e-05 -6.26098e-06)
(1.32106 -5.80624e-05 -4.00301e-06)
(1.3211 -5.6055e-05 -1.68553e-06)
(1.32113 -5.53072e-05 7.50409e-07)
